Time,M0,M1,M2,M3,M4,M5,M6,M7
5.671527778,0.036076802,-0.141153476,0.100486989,0.007327738,-0.055230418,0.172567764,0.071066531,0.044016217
5.699336111,0.05926411,-0.108897186,0.067781658,0.003352959,0.084040962,0.158883167,0.083654723,0.052091632
5.727130556,0.055033692,-0.138878988,0.18676864,-0.037971263,0.125307386,0.052594837,0.083869314,0.045366671
5.754938889,0.058438204,-0.103968945,0.078397202,-0.053261695,0.234890385,0.11419658,0.072310456,0.05052897
5.782727778,0.033265645,-0.084513085,0.022600197,-0.021107001,-0.025824596,0.121200409,0.101478615,0.038953419
5.810530556,0.028477496,-0.134000971,0.09752469,-0.035761386,-0.04762341,0.082604675,0.108456567,0.039301594
5.838322222,0.034341144,-0.140347621,0.032832632,-0.056498289,-0.032798859,0.123274746,0.059947354,0.041416031
5.866127778,0.026142156,-0.091433438,0.225641926,-0.031638153,0.024641173,0.144263565,0.105720731,0.060127011
5.893936111,0.024831641,-0.09262961,0.219035345,0.052051084,0.074958075,0.136529175,0.088341139,0.046260663
5.921741667,0.031587365,-0.133191492,0.028143781,-0.084998605,-0.055449187,0.088280921,0.113742544,0.034569701
5.949544444,0.035011683,-0.1356998,0.012219828,-0.082207036,0.027834132,0.120922996,0.093919319,0.057571534
5.977352778,0.032887656,-0.134532509,0.310434857,-0.038707889,0.025230032,0.088795005,0.073403487,0.018084738
6.005155556,0.058006814,-0.133359178,0.121905952,-0.063162442,0.030095011,0.082432359,0.092496032,0.020244678
6.032955556,0.049163414,-0.130227857,-0.0514686,-0.052469397,0.025227937,0.113511534,0.090254371,0.00651685
6.060761111,0.049477145,-0.112875631,0.106967059,-0.01944041,0.081603724,0.098753939,0.056639991,0.036239666
6.088569444,0.042338811,-0.135848718,0.046443799,-0.027887208,0.123654233,0.153272241,0.106491417,0.050907186
6.116377778,0.059776173,-0.133574772,0.05280391,-0.062688981,0.048993689,0.122196382,0.104810297,0.026828864
6.144183333,0.034332385,-0.135534664,0.153170383,0.072266256,-0.045652326,0.087539866,0.077784468,0.035043253
6.171980556,0.022028612,-0.132421692,0.126605862,-0.077171701,-0.029424433,0.102098941,0.054346395,-0.006039731
6.199788889,0.056920545,-0.120749653,0.045388751,-0.038622496,0.063298617,0.141586131,0.107812751,0.065644028
6.2276,0.033695412,-0.128975411,0.044003826,-0.022154301,0.061554302,0.132237948,0.09385512,0.01600635
6.255402778,0.036719156,-0.126799576,0.156843672,-0.033129431,0.066379962,0.101883432,0.048420356,0.01610755
6.283205556,0.064663573,-0.128023674,0.149995089,-0.060493039,0.056806509,0.146564137,0.051859591,0.076354655
6.311011111,0.051668132,-0.108036616,0.213899749,-0.055647242,0.060139074,0.124668475,0.033996328,0.06464979
6.338802778,0.042861259,-0.131073282,0.164877556,-0.068910177,0.071096872,0.138555043,0.041603655,0.200434943
6.366613889,0.024238515,-0.12968974,0.075198931,-0.032222319,0.077044473,0.136892909,0.080794041,0.04878753
6.394416667,0.059811743,-0.127493608,0.057749708,0.048802263,0.07691033,0.165519568,0.064452324,0.000591379
6.422222222,0.063264944,-0.104456099,0.097032591,0.010299187,0.043373185,0.095323905,0.045494552,0.098088105
6.450019444,0.059100327,-0.127309722,0.177165265,-0.069154536,0.048905536,0.142471105,0.088835365,0.01877769
6.477830556,0.059760233,-0.125487966,0.080481261,-0.032046243,0.123930563,0.11803798,0.030934703,0.064224923
6.505627778,0.067358192,-0.130266386,0.072441255,-0.080243644,0.113640236,0.103533668,0.069056002,0.034214748
6.533436111,0.046861089,-0.108343608,0.094989175,-0.088331446,0.090144364,0.112604772,0.120693983,0.047067746
6.561247222,0.052420895,-0.109273641,0.058292058,-0.097295533,-0.009576395,0.044698711,0.102029315,0.035278835
6.589055556,0.073033921,-0.128746676,0.195825198,-0.09217534,0.085421416,0.099286476,0.069353209,0.037873785
6.616855556,0.068074294,-0.125153105,0.146749861,-0.019756999,0.089075957,0.057125002,0.048336152,0.027643125
6.644644444,0.042749276,-0.104749344,0.054943566,-0.054093377,0.047362381,0.232498333,0.062832981,0.05393068
6.672455556,0.083420627,-0.129724882,0.046659995,-0.012241744,0.119209241,0.10274419,0.0586902,0.035192362
6.700247222,0.072155545,-0.122274096,0.182470222,-0.087425705,0.07564521,0.118407876,0.071253144,0.040171645
6.728055556,0.063619046,-0.12734493,0.053708926,-0.025802718,0.047052012,0.134827726,0.029584767,0.040086507
6.755863889,0.043566062,-0.132560144,0.067632518,-0.077347889,0.057037436,0.204864615,0.031220384,0.03099085
